Rank,Score,Autonomous Coding Skills,Driver Skills,Highest Autonomous Coding Skills,Highest Driver Skills,Highest Autonomous Score Timestamp,Highest Driver Score Timestamp,Highest Autonomous Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
787,160,73,87,2024-02-10 19:57:44,2024-02-03 19:00:38,74,0,87,0,99750X,Sparta's Brave,ROCORI MIDDLE,Minnesota,United States
795,159,76,83,2024-01-19 20:47:38,2024-02-03 19:19:57,85,0,83,0,6024E,Brainstorm,FOSSTON SECONDARY,Minnesota,United States
824,156,74,82,2024-02-03 17:13:00,2024-01-06 20:11:42,80,0,82,0,61170E,Tiger Epsilon,SOUTH JUNIOR HIGH,Minnesota,United States
840,154,101,53,2024-01-27 20:41:51,2024-02-03 16:53:10,101,0,59,0,81101F,The Leftovers,Mankato West Robotics,Minnesota,United States
850,152,74,78,2023-12-16 20:01:44,2024-02-03 19:46:54,74,0,80,54,8108D,FRENCH fries,NORTH JUNIOR HIGH,Minnesota,United States
856,152,92,60,2024-02-03 20:23:12,2023-12-15 19:16:46,100,0,60,10,81101A,Wire Problems,Mankato West Robotics,Minnesota,United States
881,148,78,70,2024-02-03 15:03:23,2024-02-03 15:52:47,78,0,70,0,5300F,Funky Turtles,WIN-E-MAC SECONDARY,Minnesota,United States
890,147,92,55,2024-01-27 17:37:15,2024-01-27 20:45:13,92,0,55,4,68031B,Tactical Rubber Bands,KENNEDY COMMUNITY SCHOOL,Minnesota,United States
906,144,67,77,2024-02-10 19:14:05,2024-02-10 16:33:55,67,0,77,0,3589H,The Duckinators,Tri-city United: Le Center,Minnesota,United States
956,138,79,59,2023-12-05 22:28:05,2023-12-05 22:43:03,79,0,59,0,8108B,Chomping Cheeses,NORTH JUNIOR HIGH,Minnesota,United States
978,135,57,78,2024-02-10 18:52:56,2024-02-10 18:37:04,57,0,78,0,7192J,Grounded 4 Life,Windom Middle School,Minnesota,United States
1078,121,52,69,2024-02-03 18:18:48,2023-12-16 19:08:47,77,0,69,0,1532C,Abominable Snowmen,BEMIDJI MIDDLE,Minnesota,United States
1091,119,47,72,2024-02-03 22:04:41,2024-01-19 17:03:36,52,0,72,0,7458G,Antarctic Knights,FISHER SECONDARY,Minnesota,United States
